n*,c4,n
2,0.7979,2
3,0.8862,3
4,0.9213,4
5,0.94,5
6,0.9515,6
7,0.9594,7
8,0.965,8
9,0.9693,9
10,0.9727,10
11,0.9754,11
12,0.9776,12
13,0.9794,13
14,0.981,14
15,0.9823,15
16,0.9835,16
17,0.9845,17
18,0.9854,18
19,0.9862,19
20,0.9869,20
21,0.9876,21
22,0.9882,22
23,0.9887,23
24,0.9892,24
25,0.9896,25
